Table Code,State Code,District Code,Area Name,Total/ Rural/ Urban,Age group,Worked for 3 months or more but less than 6 months -  Persons,Worked for 3 months or more but less than 6 months - Males,Worked for 3 months or more but less than 6 months - Females,Worked for less than 3 months - Persons,Worked for less than 3 months - Males,Worked for less than 3 months - Females,Industrial Category - A - Cultivators - Persons,Industrial Category - A - Cultivators - Males,Industrial Category - A - Cultivators - Females,Industrial Category - A - Agricultural labourers - Persons,Industrial Category - A - Agricultural labourers - Males,Industrial Category - A - Agricultural labourers - Females,"Industrial Category - A - Plantation, Livestock, Forestry, Fishing, Hunting and allied activities - Persons","Industrial Category - A - Plantation, Livestock, Forestry, Fishing, Hunting and allied activities - Males","Industrial Category - A - Plantation, Livestock, Forestry, Fishing, Hunting and allied activities - Females",Industrial Category - B - Persons,Industrial Category - B - Males,Industrial Category - B - Females,Industrial Category - C - HHI - Persons,Industrial Category - C - HHI - Males,Industrial Category - C - HHI - Females,Industrial Category - C - Non HHI - Persons,Industrial Category - C - Non HHI - Males,Industrial Category - C - Non HHI - Females,Industrial Category - D & E - Persons,Industrial Category - D & E - Males,Industrial Category - D & E - Females,Industrial Category - F - Persons,Industrial Category - F - Males,Industrial Category - F - Females,Industrial Category - G - HHI - Persons,Industrial Category - G - HHI - Males,Industrial Category - G - HHI - Females,Industrial Category - G - Non HHI - Persons,Industrial Category - G - Non HHI - Males,Industrial Category - G - Non HHI - Females,Industrial Category - H - Persons,Industrial Category - H - Males,Industrial Category - H - Females,Industrial Category - I - Persons,Industrial Category - I - Males,Industrial Category - I - Females,Industrial Category - J - HHI - Persons,Industrial Category - J - HHI - Males,Industrial Category - J - HHI - Females,Industrial Category - J - Non HHI - Persons,Industrial Category - J - Non HHI - Males,Industrial Category - J - Non HHI - Females,Industrial Category - K to M - Persons,Industrial Category - K to M - Males,Industrial Category - K to M - Females,Industrial Category - N to O - Persons,Industrial Category - N to O - Males,Industrial Category - N to O - Females,Industrial Category - P to Q - Persons,Industrial Category - P to Q - Males,Industrial Category - P to Q - Females,Industrial Category - R to U - HHI - Persons,Industrial Category - R to U - HHI - Males,Industrial Category - R to U - HHI - Females,Industrial Category - R to U - Non HHI - Persons,Industrial Category - R to U - Non HHI - Males,Industrial Category - R to U - Non HHI - Females
B0706,`33,`605,District - Vellore,Total,35-39,33544,14879,18665,7196,2856,4340,2522,1252,1270,17772,6779,10993,1080,588,492,76,50,26,3212,811,2401,3818,2102,1716,57,57,0,5776,2588,3188,0,0,0,1407,1032,375,816,781,35,355,282,73,6,6,0,45,45,0,156,130,26,375,287,88,409,137,272,709,111,598,2149,697,1452
B0706,`33,`605,District - Vellore,Total,40-49,54054,26168,27886,11640,5262,6378,4644,2557,2087,30533,13091,17442,2010,1151,859,150,103,47,4881,1718,3163,4985,3094,1891,92,81,11,8845,4175,4670,6,6,0,2055,1549,506,1124,1098,26,653,500,153,0,0,0,101,89,12,237,212,25,596,426,170,618,219,399,1246,258,988,2918,1103,1815
B0706,`33,`605,District - Vellore,Total,50-59,33090,17248,15842,7574,3444,4130,3512,2133,1379,20357,9483,10874,1452,890,562,82,62,20,2729,1184,1545,2401,1646,755,55,46,9,4581,2029,2552,3,3,0,1217,907,310,439,417,22,379,295,84,3,3,0,38,30,8,137,128,9,387,318,69,278,104,174,702,158,544,1912,856,1056
B0706,`33,`605,District - Vellore,Total,60-69,18574,10313,8261,4787,2431,2356,2278,1597,681,12301,6385,5916,988,650,338,47,44,3,1445,642,803,1174,801,373,10,8,2,2224,1043,1181,0,0,0,634,471,163,104,93,11,152,126,26,0,0,0,11,8,3,38,36,2,166,127,39,94,27,67,436,131,305,1259,555,704
B0706,`33,`605,District - Vellore,Total,70-79,5661,3505,2156,1652,949,703,828,638,190,3719,2201,1518,305,211,94,11,9,2,463,241,222,326,195,131,8,8,0,514,312,202,0,0,0,228,170,58,29,25,4,27,18,9,0,0,0,3,3,0,22,18,4,43,35,8,30,24,6,148,60,88,609,286,323
B0706,`33,`605,District - Vellore,Total,80+,1291,782,509,371,247,124,205,158,47,730,443,287,60,49,11,2,0,2,91,58,33,79,56,23,3,3,0,99,53,46,0,0,0,57,31,26,15,15,0,9,9,0,0,0,0,6,6,0,3,3,0,17,14,3,6,3,3,48,17,31,232,111,121
B0706,`33,`605,District - Vellore,Total,Age not stated,209,121,88,45,22,23,16,7,9,61,28,33,3,3,0,0,0,0,16,10,6,26,17,9,0,0,0,36,14,22,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,12,3,9,63,40,23
B0706,`33,`605,District - Vellore,Rural,Total,210811,102792,108019,44446,19794,24652,20749,11685,9064,126238,55409,70829,7059,4174,2885,393,284,109,16906,5054,11852,19032,11054,7978,252,234,18,30883,15361,15522,21,18,3,5546,4202,1344,3332,3237,95,1198,986,212,22,22,0,424,316,108,570,500,70,1724,1273,451,1701,622,1079,4321,996,3325,14886,7159,7727
B0706,`33,`605,District - Vellore,Rural,`5-9,1493,768,725,106,47,59,141,56,85,278,124,154,7,5,2,0,0,0,16,5,11,17,6,11,0,0,0,35,14,21,0,0,0,12,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,5,46,30,16,1039,566,473
B0706,`33,`605,District - Vellore,Rural,`10-14,2738,1456,1282,346,159,187,213,101,112,754,378,376,27,9,18,0,0,0,112,35,77,106,49,57,0,0,0,112,67,45,0,0,0,58,49,9,8,8,0,13,11,2,0,0,0,0,0,0,6,6,0,0,0,0,41,20,21,46,13,33,1588,869,719
B0706,`33,`605,District - Vellore,Rural,15-19,12714,6989,5725,2646,1383,1263,993,533,460,5484,2696,2788,187,133,54,9,9,0,975,252,723,2233,1067,1166,11,8,3,1574,1329,245,6,6,0,491,380,111,183,183,0,88,86,2,4,4,0,39,24,15,19,17,2,82,50,32,84,22,62,344,124,220,2554,1449,1105
B0706,`33,`605,District - Vellore,Rural,20-24,24006,12779,11227,4950,2464,2486,1796,929,867,11726,5218,6508,485,294,191,28,22,6,1947,449,1498,3756,2325,1431,26,24,2,3365,2420,945,6,6,0,902,775,127,617,602,15,172,164,8,3,3,0,126,74,52,107,96,11,270,227,43,385,143,242,619,132,487,2620,1340,1280
B0706,`33,`605,District - Vellore,Rural,25-29,27876,13315,14561,5665,2480,3185,2205,1082,1123,15249,6174,9075,753,412,341,40,21,19,2400,553,1847,3165,1992,1173,28,25,3,4552,2499,2053,0,0,0,819,667,152,678,670,8,177,162,15,3,3,0,125,102,23,119,103,16,286,221,65,403,145,258,673,123,550,1866,841,1025
B0706,`33,`605,District - Vellore,Rural,30-34,24797,11427,13370,5113,2137,2976,2083,1090,993,14386,5791,8595,756,433,323,34,26,8,2350,629,1721,2647,1496,1151,57,54,3,4165,2000,2165,3,0,3,635,502,133,621,604,17,135,108,27,6,6,0,53,41,12,104,96,8,205,149,56,203,89,114,460,93,367,1007,357,650
B0706,`33,`605,District - Vellore,Rural,35-39,26508,11088,15420,5560,2077,3483,2411,1195,1216,16308,6177,10131,899,491,408,68,45,23,2368,562,1806,2195,1154,1041,40,40,0,4559,1810,2749,0,0,0,724,491,233,386,366,20,148,122,26,3,3,0,24,24,0,79,59,20,208,158,50,146,62,84,490,82,408,1012,324,688
B0706,`33,`605,District - Vellore,Rural,40-49,42985,19857,23128,8746,3716,5030,4434,2433,2001,28024,11946,16078,1661,960,701,94,65,29,3506,1209,2297,2757,1639,1118,47,42,5,6624,2728,3896,3,3,0,916,660,256,565,549,16,232,175,57,0,0,0,33,30,3,81,73,8,346,226,120,272,90,182,780,172,608,1356,573,783
B0706,`33,`605,District - Vellore,Rural,50-59,26662,13331,13331,5887,2515,3372,3344,2026,1318,18639,8655,9984,1194,728,466,72,55,17,1859,772,1087,1240,764,476,31,29,2,3565,1399,2166,3,3,0,561,383,178,194,184,10,161,107,54,3,3,0,12,12,0,38,35,3,195,149,46,121,33,88,446,94,352,871,415,456
B0706,`33,`605,District - Vellore,Rural,60-69,15293,8297,6996,3824,1901,1923,2160,1504,656,11262,5817,5445,796,505,291,41,38,3,967,386,581,662,421,241,3,3,0,1820,817,1003,0,0,0,289,190,99,61,54,7,61,42,19,0,0,0,3,0,3,12,12,0,95,62,33,30,9,21,284,84,200,571,254,317
B0706,`33,`605,District - Vellore,Rural,70-79,4584,2805,1779,1289,717,572,773,592,181,3401,2010,1391,242,161,81,5,3,2,333,159,174,195,103,92,6,6,0,404,229,175,0,0,0,110,80,30,10,8,2,11,9,2,0,0,0,3,3,0,5,3,2,26,20,6,8,6,2,93,34,59,248,96,152
B0706,`33,`605,District - Vellore,Rural,80+,1008,607,401,281,185,96,183,139,44,671,398,273,49,40,9,2,0,2,62,38,24,42,30,12,3,3,0,72,35,37,0,0,0,29,19,10,9,9,0,0,0,0,0,0,0,6,6,0,0,0,0,8,8,0,0,0,0,31,12,19,122,55,67
B0706,`33,`605,District - Vellore,Rural,Age not stated,147,73,74,33,13,20,13,5,8,56,25,31,3,3,0,0,0,0,11,5,6,17,8,9,0,0,0,36,14,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,9,3,6,32,20,12
B0706,`33,`605,District - Vellore,Urban,Total,60600,34804,25796,13972,7748,6224,1148,672,476,10718,5064,5654,1387,842,545,141,109,32,5960,2200,3760,12629,8050,4579,187,163,24,9279,6570,2709,9,9,0,5652,4589,1063,2702,2631,71,1661,1395,266,3,3,0,560,422,138,742,654,88,1423,1102,321,2060,734,1326,2060,434,1626,16251,6909,9342
B0706,`33,`605,District - Vellore,Urban,`5-9,1121,623,498,54,28,26,27,12,15,7,3,4,0,0,0,0,0,0,12,12,0,8,5,3,0,0,0,5,5,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,30,12,18,1080,596,484
